shapeID,year,max,mean,min,stdDev,sum
Vareš,1993,0.04063586890697479,0.017023290197054546,0.00446338951587677,0.015352353871641362,0.10213974118232727
Velika Kladuša,1993,2.400452136993408,0.5454364361177231,8.214935660362244E-4,0.7548730296879816,15.817656647413969
Visoko,1993,0.2329777181148529,0.037650128888642706,0.0023508891463279724,0.034915158512948394,3.465140685833552
Vitez,1993,0.07339812815189362,0.03213673613601481,1.560896635055542E-5,0.015602021245763415,2.9998067852767076
Vlasenica,1993,0.10293661803007126,0.04170015589757399,4.741102457046509E-4,0.028550905178354593,0.9174034297466278
Vogošća,1993,0.09436280280351639,0.042118895916682914,5.279853940010071E-4,0.02261608749553541,1.342849505108361
Vukosavlje,1993,,,,,0.0
Zavidovići,1993,,,,,0.0
Zenica,1993,6.5653910636901855,0.7047764807796798,1.3336539268493652E-6,1.2167701209195074,183.94666148349643
Zvornik,1993,5.3164591789245605,0.8035507555233636,0.027647241950035095,0.9804431309619948,129.40003225416237
Čajniče,1993,0.015540271997451782,0.015540271997451782,0.015540271997451782,0.0,0.015540271997451782
Čapljina,1993,3.5924885272979736,0.5049792745169968,0.0014843270182609558,0.6778163711405131,53.6842476583579
Čelinac,1993,0.004039093852043152,0.004039093852043152,0.004039093852043152,0.0,0.004039093852043152
Čelić,1993,,,,,0.0
Čitluk,1993,3.4363856315612793,0.5819635095121917,0.004323996603488922,0.7629658368654773,70.69373204176333
Šamac,1993,0.011595770716667175,0.0060196380962621535,0.0027607902884483337,0.0027725621948691925,0.045890888075033824
Šekovići,1993,,,,,0.0
Šipovo,1993,0.11056917905807495,0.03399841805153033,0.001888670027256012,0.025782148963647642,1.1559462137520313
Široki Brijeg,1993,6.181248664855957,0.6269840111642005,0.0012890323996543884,1.2184219179171298,99.64865884103027
Žepče,1993,,,,,0.0
Živinice,1993,0.23837056756019592,0.053684510303988214,3.812238574028015E-4,0.03529194418382134,12.557333278831313
Banja Luka,1994,6.6778669357299805,1.034548056860857,7.020831108093262E-4,1.2250083790317183,655.7006154896144
Banovići,1994,,,,,0.0
Berkovići,1994,,,,,0.0
Bihać,1994,,,,,0.0
Bijeljina,1994,12.137109756469727,1.126902013031596,0.0035013481974601746,1.949063443416707,448.5114204101557
Bileća,1994,6.500492095947266,1.5651167183424588,0.002494320273399353,1.6711831398687578,84.51630279049277
Bosanska Krupa,1994,,,,,0.0
Bosanski Petrovac,1994,4.645611763000488,1.426633033901453,0.07298581302165985,1.1648170784157403,37.09245888143778
Bosansko Grahovo,1994,,,,,0.0
Bratunac,1994,3.0827035903930664,0.9312027086061844,0.006950512528419495,0.7557181303778463,51.734701069897305
Brcko District,1994,2.3960275650024414,0.35178038627684927,3.1578540802001953E-4,0.5197655546633668,47.57036494111606
Breza,1994,0.012788183987140656,0.007967983469987125,0.0026585236191749573,0.0038089266065442482,0.024778866241959963
Brod,1994,6.177383899688721,1.6510491957051279,0.007795423269271851,1.6273239395471781,141.32333644963066
Bugojno,1994,,,,,0.0
Busovača,1994,7.6293044090271,1.7050898066307936,0.016814544796943665,1.76835414052147,122.76646607741714
Bužim,1994,,,,,0.0
Cazin,1994,0.20090270042419434,0.10154744423925877,0.007516190409660339,0.053266843638302405,1.4216642193496227
Centar,1994,1.943951964378357,0.6340801107435552,1.3901293277740479E-4,0.5595565644854372,32.90005468724698
Derventa,1994,1.227624773979187,0.35064320685341954,0.010702535510063171,0.37171324242231313,11.220582619309425
Doboj,1994,2.786597490310669,0.6433474129298702,6.765499711036682E-4,0.7895715631734324,20.587117213755846
Doboj East,1994,,,,,0.0
Doboj Jug,1994,,,,,0.0
Dobretići,1994,,,,,0.0
Domaljevac-Šamac,1994,0.6999569535255432,0.1951358471172321,0.0023028478026390076,0.16268466768319478,10.460046644099787
Donji Vakuf,1994,,,,,0.0
Donji Žabar,1994,,,,,0.0
Drvar,1994,1.9837080240249634,0.724892968213872,0.006462261080741882,0.5988228847345873,27.545932792127132
Fojnica,1994,,,,,0.0
Foča,1994,,,,,0.0
Foča-Ustikolina,1994,,,,,0.0
Gacko,1994,,,,,0.0
Glamoč,1994,,,,,0.0
Goražde,1994,,,,,0.0
Gornji Vakuf-Uskoplje,1994,,,,,0.0
Gradačac,1994,,,,,0.0
Gradiška,1994,6.171458721160889,0.813895741439067,3.015249967575073E-4,1.3589321567269206,169.82971963227965
Gračanica,1994,,,,,0.0
Grude,1994,2.5434410572052,0.5409289072687895,8.841082453727722E-4,0.7104368621454715,40.5526977264998
Hadžići,1994,0.2482348382472992,0.09176656593798951,0.020821020007133484,0.06213371658003772,2.1419396096584844
Han Pijesak,1994,,,,,0.0
Ilidža,1994,0.7367722392082214,0.18071720322969387,1.0384619235992432E-4,0.14974255414937787,60.104415709452304
Ilijaš,1994,0.5860047936439514,0.1851839311779877,1.7568469047546387E-4,0.1477020862168327,14.39496425023558
Istočna Ilidža,1994,0.30592745542526245,0.10836152644403173,7.356703281402588E-5,0.08401903165865764,8.094393551787908
Istočni Drvar,1994,,,,,0.0
Istočni Mostar,1994,,,,,0.0
Istočni Stari Grad,1994,0.7436621785163879,0.18851860995638234,0.022288993000984192,0.24472480366924687,1.7609856035925595
Istočno Novo Sarajevo,1994,1.5056025981903076,0.27928209479804444,0.00528920441865921,0.3189728951118576,22.62732579814745
Jablanica,1994,4.588087558746338,1.3206001536299785,0.03264566883444786,1.2097120431361104,39.618004608899355
Jajce,1994,2.4465742111206055,0.6134382893464395,0.010647773742675781,0.70317681648707,17.176272101700306
Jezero,1994,,,,,0.0
