Code;Municipality Name;Total;Bosniak;%;Croat;%;Serb;%;Other;%
11088;Tuzla;110.979;80.774;72,80%;15.396;13,90%;3.378;3,00%;11.431;10,30%
11100;Vareš;8.892;5.447;61,30%;2.820;31,70%;189;2,10%;436;4,90%
11118;Velika Kladuša;40.419;32.561;80,60%;636;1,60%;146;0,40%;7.076;17,50%
11126;Visoko;39.938;36.697;91,90%;576;1,40%;286;0,70%;2.379;6,00%
11142;Vitez;25.836;10.513;40,70%;14.350;55,50%;333;1,30%;640;2,50%
11177;Zavidovići;35.988;32.735;91,00%;1.204;3,30%;573;1,60%;1.476;4,10%
11185;Zenica;110.663;92.988;84,00%;8.279;7,50%;2.409;2,20%;6.987;6,30%
11207;Žepče;30.219;11.727;38,80%;17.801;58,90%;501;1,70%;190;0,60%
11215;Živinice;57.765;53.089;91,90%;2.508;4,30%;242;0,40%;1.926;3,30%
11231;Čelić;10.502;9.341;88,90%;843;8,00%;192;1,80%;126;1,20%
11240;Bužim;19.340;19.207;99,30%;8;0,00%;1;0,00%;124;0,60%
11258;Doboj-Istok;10.248;9.830;95,90%;18;0,20%;12;0,10%;388;3,80%
11266;Doboj-Jug;4.137;4.017;97,10%;24;0,60%;9;0,20%;87;2,10%
11274;Dobretići;1.629;0;0,00%;1.626;99,80%;1;0,10%;2;0,10%
11282;Domaljevac-Šamac;4.771;17;0,40%;4.634;97,10%;92;1,90%;28;0,60%
11304;Ravno;3.219;20;0,60%;2.633;81,80%;558;17,30%;8;0,20%
11312;Sapna;11.178;10.827;96,90%;3;0,00%;234;2,10%;114;1,00%
11339;Teočak;7.424;7.398;99,60%;5;0,10%;7;0,10%;14;0,20%
11410;Grad Mostar;105.797;46.752;44,20%;51.216;48,40%;4.421;4,20%;3.408;3,20%
11428;Bosanska Krupa;25.545;23.578;92,30%;66;0,30%;1.260;4,90%;641;2,50%
11436;Bosanski Petrovac;7.328;3.179;43,40%;26;0,40%;3.996;54,50%;127;1,70%
11444;Foča (FBIH);1.933;1.762;91,20%;0;0,00%;145;7,50%;26;1,30%
11452;Goražde;20.897;19.692;94,20%;23;0,10%;707;3,40%;475;2,30%
11479;Gračanica;45.220;43.857;97,00%;72;0,20%;157;0,30%;1.134;2,50%
11487;Jajce;27.258;13.269;48,70%;12.555;46,10%;501;1,80%;933;3,40%
11495;Kalesija;33.053;32.227;97,50%;20;0,10%;254;0,80%;552;1,70%
11509;Ključ;16.744;16.130;96,30%;30;0,20%;273;1,60%;311;1,90%
11517;Kupres (FBIH);5.057;255;5,00%;4.474;88,50%;318;6,30%;10;0,20%
11525;Odžak;18.821;6.220;33,00%;11.621;61,70%;582;3,10%;398;2,10%
11533;Orašje;19.861;2.015;10,10%;17.345;87,30%;157;0,80%;344;1,70%
11541;Sanski Most;41.475;38.344;92,50%;722;1,70%;1.837;4,40%;572;1,40%
11550;Ilidža;66.730;58.120;87,10%;3.030;4,50%;1.600;2,40%;3.980;6,00%
11568;Novo Sarajevo;64.814;48.188;74,30%;4.639;7,20%;3.402;5,20%;8.585;13,20%
11576;Pale (FBIH);904;859;95,00%;1;0,10%;33;3,70%;11;1,20%
11584;Stari Grad Sarajevo;36.976;32.794;88,70%;685;1,90%;467;1,30%;3.030;8,20%
11592;Trnovo (FBIH);1.502;1.376;91,60%;4;0,30%;97;6,50%;25;1,70%
11606;Stolac;14.502;5.544;38,20%;8.486;58,50%;279;1,90%;193;1,30%
11614;Drvar;7.036;11;0,20%;552;7,80%;6.420;91,20%;53;0,80%
11622;Usora;6.603;374;5,70%;6.095;92,30%;61;0,90%;73;1,10%
18800;Kanton: Tuzlanski;445.028;392.356;88,20%;23.592;5,30%;7.058;1,60%;22.022;4,90%
18900;Kanton: Zen.-Dobojski;364.433;299.452;82,20%;43.819;12,00%;5.543;1,50%;15.619;4,30%
19000;Kanton: Sarajevo;413.593;346.575;83,80%;17.520;4,20%;13.300;3,20%;36.198;8,80%
19100;Kanton: Srednjobos.;254.686;146.652;57,60%;97.629;38,30%;3.043;1,20%;7.362;2,90%
19200;Kanton: Unsko-Sanski;273.261;246.012;90,00%;5.073;1,90%;8.452;3,10%;13.724;5,00%
19300;Kanton: Kanton 10;84.127;8.037;9,60%;64.604;76,80%;10.905;13,00%;581;0,70%
19400;Kanton: Zapadnoherc.;94.898;718;0,80%;93.725;98,80%;101;0,10%;354;0,40%
